alpha     CL        CD       CDp       Cm    h0 
 ------- -------- --------- --------- -------- -------
-10.000  -0.2081   0.14872   0.14532  -0.0174  0.25  
-8.000  -0.0611   0.12254   0.11913  -0.0478  0.25  
-6.000   0.0837   0.09997   0.09662  -0.0796  0.25  
-4.000   0.2010   0.07186   0.06857  -0.0893  0.25 
-2.000   0.5260   0.04274   0.03761  -0.1556  0.25  
0.000   1.1773   0.01811   0.00907  -0.2689  0.25  
2.000   1.4263   0.02044   0.01182  -0.2736  0.25  
4.000   1.6444   0.02312   0.01506  -0.2719  0.25  
6.000   1.8465   0.02662   0.01870  -0.2678  0.25  
8.000   2.0225   0.03141   0.02407  -0.2595  0.25  
10.000   2.1571   0.03595   0.02924  -0.2436  0.25  
12.000   2.2137   0.04077   0.03474  -0.2153  0.25  
14.000   2.2187   0.05156   0.04657  -0.1880  0.25  


