 alpha     CL        CD       CDp       Cm	h0 
 ------- -------- --------- --------- -------- 
  -6.000  -0.2933   0.05618   0.05214  -0.0639  0.245
  -5.000  -0.1979   0.02656   0.02018  -0.0735  0.245
  -4.000  -0.0882   0.01822   0.01073  -0.0723  0.245
  -3.000   0.0037   0.01403   0.00742  -0.0678  0.245
  -1.000   0.2614   0.01211   0.00670  -0.0682  0.245
   0.000   0.3586   0.01224   0.00625  -0.0655  0.245
   1.000   0.4522   0.01246   0.00604  -0.0612  0.245
   2.000   0.5515   0.01264   0.00590  -0.0576  0.245
   3.000   0.6537   0.01282   0.00583  -0.0546  0.245
   4.000   0.7564   0.01319   0.00591  -0.0518  0.245
   5.000   0.8570   0.01407   0.00659  -0.0493  0.245
   6.000   0.9541   0.01534   0.00767  -0.0466  0.245
   7.000   1.0470   0.01722   0.00943  -0.0438  0.245
   8.000   1.1347   0.01942   0.01163  -0.0406  0.245
   9.000   1.2159   0.02242   0.01457  -0.0369  0.245
  10.000   1.2900   0.02640   0.01867  -0.0328  0.245
  11.000   1.3459   0.03032   0.02301  -0.0270  0.245
  12.000   1.3728   0.03440   0.02759  -0.0189  0.245
  13.000   1.3846   0.04150   0.03513  -0.0135  0.245
  14.000   1.3770   0.05231   0.04640  -0.0105  0.245
  15.000   1.3518   0.06599   0.06074  -0.0119  0.245
  16.000   1.2959   0.08662   0.08193  -0.0185  0.245
  17.000   0.9629   0.18548   0.18125  -0.0767  0.245
  18.000   0.9486   0.21538   0.21118  -0.0903  0.245
  19.000   0.9686   0.24677   0.24271  -0.0949  0.245
  20.000   0.9665   0.26143   0.25740  -0.1089  0.245
  21.000   0.9927   0.28764   0.28390  -0.1101  0.245
  22.000   0.9953   0.31139   0.30773  -0.1186  0.245


