   alpha    CL        CD CM
  ------ -------- --------- --------- --------
  -6.000  -1.6989   0.02325 0.2294 0.25
  -5.000  -1.5910   0.02234 0.2294 0.25
  -4.000  -1.4944   0.02104   0.2315 0.25
  -3.000  -1.4081   0.02075  0.2357 0.25
  -2.000  -1.3114   0.02024   0.2380 0.25
  -1.000  -1.2007   0.01978   0.2377 0.25
   0.000  -1.0989   0.01936  0.2391 0.25
   1.000  -0.9984   0.01940  0.2410 0.25
   2.000  -0.8831   0.01894  0.2394 0.25
   5.000  -0.5164   0.05823 0.1806 0.25
   6.000  -0.4842   0.06484  0.1783 0.25
   7.000  -0.4631   0.07124  0.1792 0.25
   8.000  -0.4279   0.07842 0.1773 0.25
   9.000  -0.3558   0.08833  0.1652 0.25
  10.000  -0.2196   0.10496   0.1336 0.25
  11.000  -0.1245   0.12052 0.1152 0.25
  12.000  -0.0627   0.13392 0.1023 0.25
  13.000   0.0017   0.14835 0.0892 0.25
  14.000   0.0767   0.16384  0.0741 0.25
  15.000   0.1512   0.17910  0.0554  0.25
  16.000   0.2314   0.19487  0.0383 0.25
  18.000   0.2522   0.20987  0.0377 0.25
  19.000   0.2732   0.21844  0.0359  0.25
  20.000   0.2966   0.22770    0.0334 0.25
  21.000   0.3213   0.23692   0.0295  0.25
