ângulo	CL FF	CD Total	Cm	h0
				
-25	-0.6421	0.03745	-0.26156	0.26
-24	-0.57082	0.03253	-0.26272	0.26
-23	-0.49937	0.02811	-0.26371	0.26
-22	-0.42776	0.02422	-0.26452	0.26
-21	-0.35603	0.02087	-0.26515	0.26
-20	-0.28419	0.01809	-0.2656	0.26
-19	-0.21226	0.01588	-0.26588	0.26
-18	-0.14026	0.01428	-0.26598	0.26
-17	-0.06822	0.01328	-0.26589	0.26
-16	0.00384	0.01292	-0.26563	0.26
-15	0.07589	0.01319	-0.26519	0.26
-14	0.14793	0.0141	-0.26458	0.26
-13	0.21992	0.01566	-0.26378	0.26
-12	0.29184	0.01789	-0.26281	0.26
-11	0.36367	0.02077	-0.26166	0.26
-10	0.43539	0.02431	-0.26034	0.26
-9	0.50698	0.0285	-0.25885	0.26
-8	0.57842	0.03336	-0.25719	0.26
-7	0.64968	0.03886	-0.25536	0.26
-6	0.72074	0.045	-0.25336	0.26
-5	0.79158	0.05178	-0.2512	0.26
-4	0.86218	0.05918	-0.24888	0.26
-3	0.93252	0.06719	-0.2464	0.26
-2	1.00257	0.07579	-0.24376	0.26
-1	1.07232	0.08497	-0.24097	0.26
0	1.14174	0.09471	-0.23804	0.26
1	1.21082	0.10499	-0.23496	0.26
2	1.27952	0.11578	-0.23173	0.26
3	1.34784	0.12706	-0.22837	0.26
4	1.41574	0.13881	-0.22488	0.26
5	1.48322	0.151	-0.22126	0.26
6	1.55024	0.16359	-0.21751	0.26
7	1.61679	0.17657	-0.21365	0.26
8	1.68285	0.1899	-0.20967	0.26
9	1.74839	0.20355	-0.20557	0.26
10	1.81340	0.21748	-0.20138	0.26
11	1.87786	0.23167	-0.19708	0.26
12	1.94175	0.24606	-0.19269	0.26
13	2.00505	0.26064	-0.1882	0.26
14	2.06773	0.27536	-0.18364	0.26
15	2.12979	0.29018	-0.17899	0.26
16	2.19119	0.30507	-0.17427	0.26
17	2.25193	0.31998	-0.16948	0.26

